index1,index,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,pH,sulphates,alcohol,quality,quality rating
0,0,7.4,0.7,0,1.9,0.076,11,34,3.51,0.56,9.4,5,2
1,1,7.8,0.88,0,2.6,0.098,25,67,3.2,0.68,9.8,5,2
2,2,7.8,0.76,0.04,2.3,0.092,15,54,3.26,0.65,9.8,5,2
3,3,11.2,0.28,0.56,1.9,0.075,17,60,3.16,0.58,9.8,6,2
4,4,7.4,0.7,0,1.9,0.076,11,34,3.51,0.56,9.4,5,2
5,5,7.4,0.66,0,1.8,0.075,13,40,3.51,0.56,9.4,5,2
6,6,7.9,0.6,0.06,1.6,0.069,15,59,3.3,0.46,9.4,5,2
7,7,7.3,0.65,0,1.2,0.065,15,21,3.39,0.47,10,7,3
8,8,7.8,0.58,0.02,2,0.073,9,18,3.36,0.57,9.5,7,3
9,9,7.5,0.5,0.36,6.1,0.071,17,102,3.35,0.8,10.5,5,2
10,10,6.7,0.58,0.08,1.8,0.097,15,65,3.28,0.54,9.2,5,2
11,11,7.5,0.5,0.36,6.1,0.071,17,102,3.35,0.8,10.5,5,2
12,12,5.6,0.615,0,1.6,0.089,16,59,3.58,0.52,9.9,5,2
13,13,7.8,0.61,0.29,1.6,0.114,9,29,3.26,1.56,9.1,5,2
14,14,8.9,0.62,0.18,3.8,0.176,52,145,3.16,0.88,9.2,5,2
15,15,8.9,0.62,0.19,3.9,0.17,51,148,3.17,0.93,9.2,5,2
16,16,8.5,0.28,0.56,1.8,0.092,35,103,3.3,0.75,10.5,7,3
17,17,8.1,0.56,0.28,1.7,0.368,16,56,3.11,1.28,9.3,5,2
18,18,7.4,0.59,0.08,4.4,0.086,6,29,3.38,0.5,9,4,1
19,19,7.9,0.32,0.51,1.8,0.341,17,56,3.04,1.08,9.2,6,2
20,20,8.9,0.22,0.48,1.8,0.077,29,60,3.39,0.53,9.4,6,2
21,21,7.6,0.39,0.31,2.3,0.082,23,71,3.52,0.65,9.7,5,2
22,22,7.9,0.43,0.21,1.6,0.106,10,37,3.17,0.91,9.5,5,2
23,23,8.5,0.49,0.11,2.3,0.084,9,67,3.17,0.53,9.4,5,2
24,24,6.9,0.4,0.14,2.4,0.085,21,40,3.43,0.63,9.7,6,2
25,25,6.3,0.39,0.16,1.4,0.08,11,23,3.34,0.56,9.3,5,2
26,26,7.6,0.41,0.24,1.8,0.08,4,11,3.28,0.59,9.5,5,2
27,27,7.9,0.43,0.21,1.6,0.106,10,37,3.17,0.91,9.5,5,2
28,28,7.1,0.71,0,1.9,0.08,14,35,3.47,0.55,9.4,5,2
29,29,7.8,0.645,0,2,0.082,8,16,3.38,0.59,9.8,6,2
30,30,6.7,0.675,0.07,2.4,0.089,17,82,3.35,0.54,10.1,5,2
31,31,6.9,0.685,0,2.5,0.105,22,37,3.46,0.57,10.6,6,2
32,32,8.3,0.655,0.12,2.3,0.083,15,113,3.17,0.66,9.8,5,2
33,33,6.9,0.605,0.12,10.7,0.073,40,83,3.45,0.52,9.4,6,2
34,34,5.2,0.32,0.25,1.8,0.103,13,50,3.38,0.55,9.2,5,2
35,35,7.8,0.645,0,5.5,0.086,5,18,3.4,0.55,9.6,6,2
36,36,7.8,0.6,0.14,2.4,0.086,3,15,3.42,0.6,10.8,6,2
37,37,8.1,0.38,0.28,2.1,0.066,13,30,3.23,0.73,9.7,7,3
38,38,5.7,1.13,0.09,1.5,0.172,7,19,3.5,0.48,9.8,4,1
